,molecule_chembl_id,Ki,units,data_validity_comment,max_phase,smiles
153,CHEMBL1642988,100.0,nM,,,CC(C)(C)c1cc[n+](/C=C2\C=CC3=CC/C(=C\[n+]4ccc(C(C)(C)C)cc4)C=C3C2)cc1.[Br-].[Br-]
154,CHEMBL1200970,24700.0,nM,,4.0,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21.Cl
155,CHEMBL1669479,5.0,nM,,,C[N+](C)(CCNC(=O)C(=O)NCC[N+](C)(C)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-]
156,CHEMBL1669486,620.0,nM,,,[Br-].[Br-].c1ccc2c[n+](CCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1
157,CHEMBL1669494,1250.0,nM,,,[Br-].[Br-].c1ccc2c[n+](Cc3ccc4ccc(C[n+]5ccc6ccccc6c5)cc4c3)ccc2c1
158,CHEMBL225577,40.0,nM,,,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCCC[n+]1cccc2ccccc21
159,CHEMBL1762003,2300.0,nM,,,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2Cc1ccc2ccc(C[n+]3cccc4ccccc43)cc2c1
160,CHEMBL392577,3.5,nM,,,O=C(c1c2ccccc2cc2ccccc12)N1c2ccccc2Sc2ccccc21
161,CHEMBL1819176,1.01,nM,,,Clc1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)-c3ccccc3C4)c3c(nc2c1)CCCC3
162,CHEMBL2011402,34300.0,nM,,,COc1ccc([C@H]2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)[C@@H]2O)cc1O
163,CHEMBL459258,68200.0,nM,,,COc1cc([C@H]2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)[C@@H]2O)ccc1O
164,CHEMBL2011403,16900.0,nM,,,COc1c(O)cc(C2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)[C@@H]2O)cc1O
165,CHEMBL2011404,94500.0,nM,,,COc1ccc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc1O
166,CHEMBL253152,149500.0,nM,Outside typical range,,COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)ccc1O
167,CHEMBL2011405,30100.0,nM,,,COc1c(O)cc(C2CC(=O)c3c(cc(O)c(C/C=C(\C)CCC=C(C)C)c3O)O2)cc1O
168,CHEMBL374130,120500.0,nM,Outside typical range,,CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2
169,CHEMBL223256,8400.0,nM,,,CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2
170,CHEMBL1256415,6340.0,nM,,,COc1ccc2nc3c(c(N)c2c1)CCCC3
171,CHEMBL1677,101.0,nM,,4.0,Cl.Nc1c2c(nc3ccccc13)CCCC2
172,CHEMBL2064470,24.7,nM,,,CN(CCCN1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)c1ccccc1
173,CHEMBL2064468,47.6,nM,,,CN(CCCN1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
174,CHEMBL2064466,85.5,nM,,,CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)c1ccccc1
175,CHEMBL2064465,3.73,nM,,,CCN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
176,CHEMBL2064464,0.318,nM,,,CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
177,CHEMBL2064404,76.1,nM,,,O=C(CCN1CCCCC1)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1
178,CHEMBL2159664,47.0,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCCC[n+]2ccccc2)cc1.[Br-]
179,CHEMBL2159663,81.0,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2ccccc2)cc1.[Br-]
180,CHEMBL2159662,6.47,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2cccc3ccccc32)cc1.[Br-]
181,CHEMBL2159661,9.4,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCCC[n+]2ccc3ccccc3c2)cc1.[Br-]
182,CHEMBL2159660,44.66,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2ccc3ccccc3c2)cc1.[Br-]
183,CHEMBL2159659,45.81,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCC[n+]2ccc3ccccc3c2)cc1.[Br-]
184,CHEMBL2159658,53.0,nM,,,CC(=O)c1ccccc1NC(=O)c1ccc(OCCCC[n+]2cccc3ccccc32)cc1.[Br-]
185,CHEMBL2159657,123.73,nM,,,O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCC[n+]2cccc3ccccc32)cc1.[Br-]
186,CHEMBL2159656,197.78,nM,,,CN(C)c1cc[n+](CCCCOc2ccc(C(=O)NCCc3c[nH]c4ccccc34)cc2)cc1.[Br-]
187,CHEMBL2158019,1437.0,nM,,,O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCCn2c3ccccc3c3ccccc32)cc1
188,CHEMBL2164779,1200000.0,nM,Outside typical range,,CC(C)NC[C@H](O)c1ccc(OC(=O)N(C)C)c(OC(=O)N(C)C)c1.Cl
189,CHEMBL2164778,390000.0,nM,Outside typical range,,CC(C)NC[C@H](O)c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1.Cl
190,CHEMBL2164777,1400000.0,nM,Outside typical range,,CC(C)NCC(O)c1ccc(OC(=O)N(C)C)c(OC(=O)N(C)C)c1.Cl
191,CHEMBL2164776,710000.0,nM,Outside typical range,,CC(C)NCC(O)c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1.Cl
192,CHEMBL258893,1120.0,nM,,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC.[Cl-]
