,molecule_chembl_id,pKi,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
119,CHEMBL179192,7.873868592738016,552.2922829,0.4411764705882353,5,1,6,6,40,10,0,58.120000000000005,0.16437721689011336,7.373500000000008,2.92833505237825,2,0,2,2,2,4,0,0,0
120,CHEMBL338755,9.267606240177031,507.3361963120001,0.45454545454545453,5,2,6,5,38,10,0,53.08,0.2318747073686506,6.776600000000006,2.750316089419158,2,0,2,2,2,4,0,0,0
121,CHEMBL507174,10.072116589669292,547.3674964400001,0.4444444444444444,5,2,6,5,41,13,0,53.08,0.13253920239462963,7.722900000000008,2.9263855187776073,2,0,2,2,2,4,0,0,0
122,CHEMBL374184,6.962573502059376,393.20524172399996,0.391304347826087,6,3,4,6,29,4,0,86.47,0.7652618763664968,3.945700000000003,3.0563711819340176,1,1,2,1,1,2,0,0,0
123,CHEMBL3215768,8.718966632752272,824.1751927920003,0.375,6,2,7,12,52,12,0,76.14,0.12255537789413186,11.830299999999976,4.6647132032271035,1,1,2,2,3,5,0,0,0
124,CHEMBL309490,4.0675262353228465,270.05282342000004,0.0,5,3,3,5,20,1,0,90.9,0.6318329361180623,2.576800000000001,2.2254814547320976,0,0,0,2,1,3,0,0,0
125,CHEMBL150,4.032452023781138,286.04773804,0.0,6,4,3,6,21,1,0,111.13000000000001,0.5458513994143424,2.2824000000000004,2.3745475992120095,0,0,0,2,1,3,0,0,0
126,CHEMBL50,4.416801226031377,302.04265266,0.0,7,5,3,7,22,1,0,131.36,0.43419044029909815,1.988,2.5447087418021415,0,0,0,2,1,3,0,0,0
127,CHEMBL164,4.422508200162775,318.03756727999996,0.0,8,6,3,8,23,1,0,151.59,0.3707504645634647,1.6935999999999998,2.7332596240904596,0,0,0,2,1,3,0,0,0
128,CHEMBL151,4.181774106386045,286.04773804,0.0,6,4,3,6,21,1,0,111.13000000000001,0.5106223467843569,2.2824000000000004,2.4203306230846895,0,0,0,2,1,3,0,0,0
129,CHEMBL590031,4.619788758288394,232.050060146,0.6666666666666666,5,0,2,6,15,1,0,61.83,0.5081989931487367,1.6931999999999998,4.627191441473919,0,2,2,0,0,0,0,1,1
